Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,,Gross profit,
Aglio Olio,10034,Pasta,6,"Rp 150,000",1,"Rp 25,000",0,"Rp 125,000",,"Rp 125,000",
Americano,10044,Black,16,"Rp 320,000",0,Rp 0,0,"Rp 320,000",,"Rp 320,000",
Americano - All item 20K,10001,Black,6,"Rp 120,000",1,"Rp 20,000",0,"Rp 100,000",,"Rp 100,000",
Bolognese,10021,Pasta,6,"Rp 168,000",2,"Rp 56,000",0,"Rp 112,000",,"Rp 112,000",
Cafe Latte,10046,White,20,"Rp 460,000",0,Rp 0,0,"Rp 460,000",,"Rp 460,000",
Cafe Latte - All item 20K,10003,White,5,"Rp 100,000",1,"Rp 20,000",0,"Rp 80,000",,"Rp 80,000",
Calamari Fritters,10040,Starters,1,"Rp 28,000",0,Rp 0,0,"Rp 28,000",,"Rp 28,000",
Cappucino,10047,White,8,"Rp 184,000",0,Rp 0,0,"Rp 184,000",,"Rp 184,000",
Cappucino - All item 20K,10004,White,1,"Rp 20,000",0,Rp 0,0,"Rp 20,000",,"Rp 20,000",
Caramelized Butter Prawn,10039,Main Course,3,"Rp 102,000",1,"Rp 34,000",0,"Rp 68,000",,"Rp 68,000",
Carbonara,10022,Pasta,15,"Rp 480,000",1,"Rp 32,000",0,"Rp 448,000",,"Rp 448,000",
Chocolate,10058,Non Coffee,22,"Rp 506,000",0,Rp 0,0,"Rp 506,000",,"Rp 506,000",
Chocolate - All item 20K,10024,Non Coffee,10,"Rp 200,000",1,"Rp 20,000",0,"Rp 180,000",,"Rp 180,000",
Complimentary of KYLO,10041,No category,8,Rp 0,0,Rp 0,0,Rp 0,,Rp 0,
Creamy Coconut Coffee,10010,Coffee Milk Based,5,"Rp 100,000",1,"Rp 20,000",0,"Rp 80,000",,"Rp 80,000",
Croffle,10018,Dessert,17,"Rp 374,000",1,"Rp 22,000",0,"Rp 352,000",,"Rp 352,000",
Croffle trial opening,10027,Trial Opening (Before GO),2,"Rp 40,000",0,Rp 0,0,"Rp 40,000",,"Rp 40,000",
Espresso,10043,Black,1,"Rp 20,000",0,Rp 0,0,"Rp 20,000",,"Rp 20,000",
Espresso - All item 20K,10000,Black,1,"Rp 20,000",0,Rp 0,0,"Rp 20,000",,"Rp 20,000",
